name,issns,active,withdrawn_date,withdrawal_reason
Abacus,0001-3072;1467-6281,true,,
Academy of Management Perspectives,1558-9080;1943-4529,true,,
Accounting and Business Research,0001-4788;2159-4260,true,,
Accounting and Finance,0810-5391;1467-629X,true,,
Accounting Education,0963-9284;1468-4489,true,,
Accounting Forum,0155-9982;1467-6303,true,,
Accounting History,1032-3732;1749-3374,true,,
Accounting Horizons,0888-7993;1558-7975,true,,
Accounting in Europe,1744-9480;1744-9499,true,,
Acta Psychologica,0001-6918;1873-6297,true,,
Adelaide Law Review,0065-1915,true,,
Advances in Accounting,0882-6110;1046-5715,true,,
Advances in Accounting Behavioral Research,1475-1488,true,,
Advances in Applied Probability,0001-8678;1475-6064,true,,
Advances in Management Accounting,1474-7871,true,,
Agricultural Economics,0169-5150;1574-0862,true,,
AIS Transactions on Human-Computer Interaction,1944-3900,true,,
"Alternatives: global, local, political",0304-3754;2163-3150,true,,
American Business Law Journal,0002-7766;1744-1714,true,,
American Journal of Comparative Law,0002-919X;2326-9197,true,,
Annals of Actuarial Science,1748-4995;1748-5002,true,,
Annals of Applied Probability,1050-5164;2168-8737,true,,
Annals of Applied Statistics,1932-6157;1941-7330,true,,
Annals of Operations Research,0254-5330;1572-9338,true,,
Annals of the Institute of Statistical Mathematics,0020-3157;1572-9052,true,,
Anti Trust Law Journal,0003-6056,true,,
Appetite,0195-6663;1095-8304,true,,
Applied Economics,0003-6846;1466-4283,true,,
Applied Energy,0306-2619,true,,
Applied Psychology: An International Review,0269-994X;1464-0597,true,,
Asia Pacific Journal of Management,0217-4561;1572-9958,true,,
Asia Pacific Journal of Marketing and Logistics,1355-5855;1758-4248,true,,
Asia Pacific Journal of Tourism Research,1094-1665;1741-6507,true,,
Asia-Pacific Journal of Human Resources,1038-4111;1744-7941,true,,
Australasian Journal of Information Systems,1449-8618;1326-2238,true,,
Australasian Marketing Journal,1441-3582;1839-3349,true,,
Australian and New Zealand Journal of Criminology,0004-8658;1837-9273,true,,
Australian and New Zealand Journal of Statistics,1369-1473;1467-842X,true,,
Australian Bar Review,0814-8589,true,,
Australian Business Law Review,0310-1053,true,,
Australian Journal of Corporate Law,1037-4124,true,,
