name,issns,active,withdrawn_date,withdrawal_reason
Academy of Management Annals,1941-6520;1941-6067,true,,
Academy of Management Discoveries,2168-1007,true,,
Academy of Management Journal,0001-4273;1948-0989,true,,
Academy of Management Learning and Education,1537-260X;1944-9585,true,,
Academy of Management Review,0363-7425;1930-3807,true,,
Accident Analysis and Prevention,0001-4575;1879-2057,true,,
Accounting Auditing and Accountability Journal,0951-3574;1758-4205,true,,
"Accounting, Organizations and Society",0361-3682;1873-6289,true,,
Administrative Science Quarterly,0001-8392;1930-3815,true,,
Advances in Experimental Social Psychology,0065-2601;1557-8410,true,,
American Economic Journal: Applied Economics,1945-7782;1945-7790,true,,
American Economic Journal: Economic Policy,1945-7731;1945-774X,true,,
American Economic Journal: Macroeconomics,1945-7707;1945-7715,true,,
American Economic Journal: Microeconomics,1945-7669;1945-7685,true,,
American Economic Review: Insights,2640-205X;2640-2068,true,,
American Journal of Agricultural Economics,0002-9092;1467-8276,true,,
American Journal of Health Economics,2332-3493;2332-3507,true,,
American Journal of Political Science,0092-5853;1540-5907,true,,
American Journal of Public Health,0090-0036;1541-0048,true,,
American Journal of Sociology,0002-9602;1537-5390,true,,
American Political Science Review,0003-0554;1537-5943,true,,
American Psychologist,0003-066X;1935-990X,true,,
American Sociological Review,0003-1224;1939-8271,true,,
Annals of Probability,0091-1798;2168-894X,true,,
Annals of Statistics,0090-5364,true,,
Annals of Tourism Research,0160-7383;1873-7722,true,,
Annual Review of Economics,1941-1383;1941-1391,true,,
Annual Review of Organizational Psychology and Organizational Behavior,2327-0616,true,,
Annual Review of Psychology,0066-4308;1545-2085,true,,
Annual Review of Sociology,0360-0572;1545-2115,true,,
ASTIN Bulletin,0515-0361;1783-1350,true,,
Auditing: A Journal of Practice and Theory,0278-0380;1558-7991,true,,
Australian Tax Forum,0812-695X,true,,
Biometrika,0006-3444;1464-3510,true,,
Boston University Law Review,0006-8047,true,,
British Accounting Review,0890-8389;1095-8347,true,,
British Journal of Industrial Relations,0007-1080;1467-8543,true,,
British Journal of Management,1045-3172;1467-8551,true,,
British Journal of Political Science,0007-1234;1469-2112,true,,
British Tax Review,0007-1870,true,,
Business History,0007-6791;1743-7938,true,,
Cambridge Law Journal,0008-1973;1469-2139,true,,
Canadian Tax Journal,0008-5111,true,,
Columbia Law Review,0010-1958;1945-2268,true,,
Contemporary Accounting Research,0823-9150;1911-3846,true,,
Cornell Law Review,0010-8847,true,,
Critical Finance Review,2164-5744;2164-5760,true,,
Decision Sciences,0011-7315;1540-5915,true,,
Decision Support Systems,0167-9236;1873-5797,true,,
Econometric Theory,0266-4666;1469-4360,true,,
Econometrica,0012-9682;1468-0262,true,,
Econometrics Journal,1368-4221;1368-423X,true,,
Economic Theory,0938-2259;1432-0479,true,,
Energy Economics,0140-9883;1873-6181,true,,
Entrepreneurship Theory and Practice,1042-2587;1540-6520,true,,
Environment and Planning A: Economy and Space,0308-518X;1472-3409,true,,
Environment and Planning B: Urban Analytics and City Science,0265-8135;1472-3417,true,,
European Economic Review,0014-2921;1873-572X,true,,
European Journal of Information Systems,0960-085X;1476-9344,true,,
European Journal of Marketing,0309-0566;1758-7123,true,,
European Journal of Operational Research,0377-2217;1872-6860,true,,
Experimental Economics,1386-4157;1573-6938,true,,
Federal Law Review,0067-205X,true,,
Financial Management,0046-3892;1755-053X,true,,
Games and Economic Behavior,0899-8256;1090-2473,true,,
Gender and Society,0891-2432;1552-3977,true,,
Global Environmental Change,0959-3780;1872-9495,true,,
Harvard Law Review,0017-811X;2161-976X,true,,
Health Economics,1057-9230;1099-1050,true,,
Human Relations,0018-7267;1741-282X,true,,
Human Resource Management (US),0090-4848;1099-050X,true,,
Human Resource Management Journal (UK),0954-5395;1748-8583,true,,
ILR Review (Industrial and Labor Relations Review),0019-7939;2162-271X,true,,
Industrial Marketing Management,0019-8501;1873-2062,true,,
Industrial Relations: a journal of economy and society,0019-8676;1468-232X,true,,
Information & Management,0378-7206;1872-7530,true,,
Information and Organization,1471-7727;1873-7919,true,,
Information Systems Journal,1350-1917;1365-2575,true,,
Information Systems Research,1047-7047;1526-5536,true,,
Insurance: Mathematics & Economics,0167-6687;1873-5959,true,,
International & Comparative Law Quarterly,0020-5893;1471-6895,true,,
International Economic Review,0020-6598;1468-2354,true,,
International Journal of Hospitality Management,0278-4319;1873-4693,true,,
International Journal of Industrial Organization,0167-7187;1873-7986,true,,
International Journal of Management Reviews,1460-8545;1468-2370,true,,
International Journal of Project Management,0263-7863;1873-4634,true,,
International Journal of Research in Marketing,0167-8116;1873-8001,true,,
Journal of Accounting and Economics,0165-4101,true,,
Journal of Accounting and Public Policy,0278-4254;1873-2070,true,,
Journal of Accounting Research,0021-8456;1475-679X,true,,
Journal of Applied Econometrics,0883-7252;1099-1255,true,,
Journal of Applied Psychology,0021-9010;1939-1854,true,,
Journal of Banking & Finance,0378-4266;1872-6372,true,,
Journal of Business & Economic Statistics,0735-0015;1537-2707,true,,
Journal of Business Finance & Accounting,0306-686X;1468-5957,true,,
Journal of Business Venturing,0883-9026;1873-2003,true,,
Journal of Computational and Graphical Statistics,1061-8600;1537-2715,true,,
Journal of Conflict Resolution,0022-0027;1552-8766,true,,
Journal of Construction Engineering and Management,0733-9364;1943-7862,true,,
Journal of Consumer Psychology,1057-7408;1532-7663,true,,
Journal of Consumer Research,0093-5301;1537-5277,true,,
Journal of Corporate Finance,0929-1199;1872-6313,true,,
Journal of Development Economics,0304-3878;1872-6089,true,,
Journal of Econometrics,0304-4076;1872-6895,true,,
Journal of Economic Behavior and Organization,0167-2681;1879-1751,true,,
Journal of Economic Dynamics and Control,0165-1889;1879-1743,true,,
Journal of Economic Growth,1381-4338;1573-7020,true,,
Journal of Economic Literature,0002-0515;2328-8175,true,,
Journal of Economic Perspectives,0895-3309;1944-7965,true,,
Journal of Economic Theory,0022-0531;1095-7235,true,,
Journal of Empirical Legal Studies,1740-1453;1740-1461,true,,
Journal of Environmental Economics and Management,0095-0696;1096-0449,true,,
Journal of Experimental Psychology: general,0096-3445;1939-2222,true,,
Journal of Financial and Quantitative Analysis,0022-1090;1756-6916,true,,
Journal of Financial Econometrics,1479-8409;1479-8417,true,,
Journal of Financial Economics,0304-405X,true,,
Journal of Financial Intermediation,1042-9573;1096-0473,true,,
Journal of Financial Markets,1386-4181;1878-576X,true,,
Journal of Financial Stability,1572-3089;1878-0962,true,,
Journal of Health Economics,0167-6296;1879-1646,true,,
Journal of Hospitality and Tourism Management,1447-6770;1839-5260,true,,
Journal of Human Resources,0022-166X;1548-8004,true,,
Journal of Information Technology,0268-3962;1466-4437,true,,
Journal of International Business Studies,0047-2506;1478-6990,true,,
Journal of International Economics,0022-1996;1873-0353,true,,
Journal of Labor Economics,0734-306X;1537-5307,true,,
Journal of Management,0149-2063;1557-1211,true,,
Journal of Management Accounting Research,1049-2127;1558-8033,true,,
Journal of Management Information Systems,0742-1222;1557-928X,true,,
Journal of Management Studies,0022-2380;1467-6486,true,,
Journal of Marketing,0022-2429;1547-7185,true,,
Journal of Marketing Research,0022-2437;1547-7193,true,,
Journal of Monetary Economics,0304-3932;1873-1295,true,,
"Journal of Money, Credit and Banking",0022-2879;1538-4616,true,,
Journal of Occupational and Organizational Psychology,0963-1798;2044-8325,true,,
Journal of Operations Management,0272-6963;1873-1317,true,,
Journal of Organizational Behavior,0894-3796;1099-1379,true,,
Journal of Personality and Social Psychology,0022-3514;1939-1315,true,,
Journal of Political Economy,0022-3808;1537-534X,true,,
Journal of Population Economics,0933-1433;1432-1475,true,,
