name,issns,active,withdrawn_date,withdrawal_reason
4OR,1619-4500;1614-2411,true,,
AACE International Transactions,1528-7106,true,,
Academy of Marketing Studies Journal,1095-6298;1528-2678,true,,
Accountancy Business and the Public Interest,1745-7718,true,,
Accounting and the Public Interest,1530-9320,true,,
Accounting Educators Journal,1041-0392,true,,
Accounting Historians Journal,0148-4184,true,,
Accounting History Review,2155-2851;2155-286X,true,,
Accounting Perspectives,1911-382X;1911-3838,true,,
Accounting Research Journal,1030-9616,true,,
"Accounting, Economics and Law – A Convivium",2194-6051;2152-2820,true,,
ACM Transactions on Modeling and Computer Simulation,1049-3301;1558-1195,true,,
Active Learning in Higher Education,1469-7874;1741-2625,true,,
Administration and Society,0095-3997;1552-3039,true,,
Administrative Theory and Praxis,1084-1806;1949-0461,true,,
Advances in Consumer Research,0098-9258,true,,
Advances in Environmental Accounting and Management,1479-3598,true,,
Advances in Taxation,1058-7497,true,,
African Journal of Agricultural and Resource Economics,1993-3738;2521-9871,true,,
Agenda: a journal of policy analysis and reform,1322-1833;1447-4735,true,,
Agricultural and Resource Economics Review,1068-2805;2372-2614,true,,
Agriculture and Human Values,0889-048X;1572-8366,true,,
Air and Space Law,0927-3379;1875-8339,true,,
Akron Tax Journal,1044-4130,true,,
Alberta Law Review,0002-4821,true,,
Algorithmic Finance,2158-5571;2157-6203,true,,
Alternative Law Journal,1037-969X;2398-9084,true,,
American Bankruptcy Institute Law Review,1068-0861,true,,
American Bankruptcy Law Journal,0027-9048,true,,
American Behavioral Scientist,0002-7642;1552-3381,true,,
American Business Review,0743-2348,true,,
American Journal of Economics and Sociology,0002-9246;1536-7150,true,,
American Law and Economics Review,1465-7252;1465-7260,true,,
American Review of Public Administration,0275-0740;1552-3357,true,,
AMS Review,1869-814X;1869-8182,true,,
Analytic Methods in Accident Research,2213-6657;2213-6665,true,,
Anatolia,1303-2917;2156-6909,true,,
Annals of Finance,1614-2446;1614-2454,true,,
Annals of Leisure Research,1174-5398;2159-6816,true,,
Annals of Public and Cooperative Economics,1370-4788;1467-8292,true,,
Annals of the American Academy of Political and Social Science,0002-7162;1552-3349,true,,
Annals of Tourism Research Empirical Insights,2666-9579,true,,
Annual Review of Financial Economics,1941-1367;1941-1375,true,,
Annual Review of Resource Economics,1941-1340;1941-1359,true,,
Antitrust Bulletin,0003-603X;1930-7969,true,,
Applied Cognitive Psychology,0888-4080;1099-0720,true,,
Applied Economic Analysis,2632-7627,true,,
Applied Economic Perspectives and Policy,2040-5804;2040-5970,true,,
Applied Economics Letters,1350-4851;1466-4291,true,,
Applied Economics Quarterly,1611-6607;1865-5122,true,,
Applied Finance Letters,2253-5799;2253-5802,true,,
Applied Financial Economics,0960-3107;1466-4305,true,,
Applied Mathematical Finance,1350-486X;1466-4313,true,,
Applied Psychological Measurement,0146-6216;1552-3497,true,,
Applied Research in Quality of Life,1871-2584;1871-2576,true,,
Applied Stochastic Models in Business and Industry,1524-1904;1526-4025,true,,
Appraisal Journal,0003-7087,true,,
Arizona Law Review,0004-153X,true,,
Asia Europe Journal,1610-2932;1612-1031,true,,
Asia Pacific Business Review,1360-2381;1743-792X,true,,
Asia Pacific Journal of Economics and Business,1326-8481,true,,
Asia Pacific Journal of Finance,0219-1466,true,,
Asia Pacific Journal of Information Systems,2288-5404;2288-6818,true,,
Asia Pacific Public Relations Journal,1440-4389;1839-8227,true,,
Asia Pacific Sustainable Development Journal,1020-1246,true,,
Asia-Pacific Journal of Accounting and Economics,1608-1625;2164-2257,true,,
Asia-Pacific Journal of Business Administration,1757-4323;1757-4331,true,,
Asia-Pacific Journal of Financial Studies,2041-9945;2041-6156,true,,
Asia-Pacific Journal of Risk and Insurance,2194-606X;2153-3792,true,,
Asian Economic Journal,1351-3958;1467-8381,true,,
Asian Economic Papers,1535-3516;1536-0083,true,,
Asian Journal of Accounting Research,2459-9700;2443-4175,true,,
Asian Journal of Political Science,0218-5377;1750-7812,true,,
Asian Population Studies,1744-1730;1744-1749,true,,
Asian Review of Accounting,1758-8863,true,,
Australasian Accounting Business and Finance Journal,1834-2000;1834-2019,true,,
Australasian Journal of Natural Resources Law and Policy,1320-5323,true,,
Australasian Journal of Regional Studies,1324-0935,true,,
Australasian Journal on Ageing,1440-6381;1741-6612,true,,
Australian Accounting Review,1035-6908;1835-2561,true,,
Asia‐Pacific Economic History Review,0004-8992;1467-8446,true,,
Australian Economic Papers,0004-900X;1467-8454,true,,
Australian Intellectual Property Journal,1038-1635,true,,
Australian Journal of Career Development,1038-4162;2200-6974,true,,
Australian Journal of Competition and Consumer Law (formerly Trade Practices Law Journal),1838-9260,true,,
Australian Journal of Environmental Education,0814-0626;2049-775X,true,,
Australian Journal of Human Rights,1323-238X;2573-573X,true,,
Australian Journal of Labour Economics: a journal of labour economics and labour relations,1328-1143,true,,
Australian Property Law Journal,1038-5959,true,,
Australian Psychologist,0005-0067;1742-9544,true,,
Baltic Journal of Management,1746-5265;1746-5273,true,,
Banking and Finance Law Review,0832-8722,true,,
Basic and Applied Social Psychology,0197-3533;1532-4834,true,,
Benchmarking: an international journal,1463-5771;1758-4094,true,,
Berkeley Business Law Journal,1548-7067,true,,
Biometrical Journal,0323-3847;1521-4036,true,,
Bond Law Review,1033-4505,true,,
Borsa Istanbul Review,2214-8450;2214-8469,true,,
British Actuarial Journal,1357-3217;2044-0456,true,,
British Food Journal,0007-070X;1758-4108,true,,
British Journal of Mathematical and Statistical Psychology,0007-1102;2044-8317,true,,
Built Environment Project and Asset Management,2044-124X;2044-1258,true,,
Bulletin for International Taxation,1819-5490;2352-9202,true,,
Bulletin of Economic Research,0307-3378;1467-8586,true,,
Bulletin of Indonesian Economic Studies,0007-4918;1472-7234,true,,
Business and Human Rights Journal,2057-0198;2057-0201,true,,
Business Economics,0007-666X;1554-432X,true,,
"Business Ethics, the Environment & Responsibility",0962-8770;1467-8608,true,,
Business Horizons,0007-6813;1873-6068,true,,
Business Process Management Journal,1463-7154;1758-4116,true,,
Business Research Quarterly,2340-9436,true,,
Business Strategy Review,0955-6419;1467-8616,true,,
"Cambridge Journal of Regions, Economy and Society",1752-1378;1752-1386,true,,
Canadian Bar Review,0008-3003,true,,
Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l Administration,0825-0383;1936-4490,true,,
Canadian Journal of Development Studies / Revue canadienne d'etudes du developpement,0225-5189;2158-9100,true,,
Canadian Public Policy / Analyse de Politiques,0317-0861;1911-9917,true,,
Canterbury Law Review,0112-0581,true,,
Capital and Class,0309-8168;2041-0980,true,,
Charity Law and Practice Review,0966-4041,true,,
China Agricultural Economic Review,1756-137X;1756-1388,true,,
China and World Economy,1671-2234;1749-124X,true,,
China Economic Journal,1753-8963;1753-8971,true,,
China Information,0920-203X;1741-590X,true,,
China Journal of Accounting Studies,2169-7213;2169-7221,true,,
Cleaner Logistics and Supply Chain,2772-3909,true,,
Climate and Development,1756-5529;1756-5537,true,,
Climate Change Economics,2010-0078,true,,
Cogent Economics and Finance,2332-2039,true,,
Common Law World Review,1473-7795;1740-5556,true,,
Common Market Law Review,0165-0750;1875-8320,true,,
Communication & Sport,2167-4809;2167-4795,true,,
Communications in Statistics: Theory and Methods,0361-0926;1532-415X,true,,
Community Development Journal,0010-3802;1468-2656,true,,
Company Lawyer,0144-1027,true,,
Comparative Economic Studies,0888-7233;1478-3320,true,,
Competition and Change,1024-5294;1477-2221,true,,
Competition and Regulation in Network Industries,1783-5917,true,,
Comptabilité - Contrôle - Audit,1262-2788;2313-514X,true,,
Computational Economics,0927-7099;1572-9974,true,,
Computational Management Science,1619-697X;1619-6988,true,,
Computer Law & Security Review,0267-3649;1873-6734,true,,
Computer Supported Cooperative Work,0925-9724;1573-7551,true,,
Conflict Management and Peace Science,0738-8942;1549-9219,true,,
Conflict Resolution Quarterly,1536-5581;1541-1508,true,,
Constitutional Political Economy,1043-4062;1572-9966,true,,
Construction Innovation,1471-4175;1477-0857,true,,
Construction Law Journal,0267-2359,true,,
Consumer Behavior in Tourism and Hospitality,2752-6666;2752-6674,true,,
"Consumption, Markets and Culture",1025-3866;1477-223X,true,,
Contemporary Economic Policy,1074-3529;1465-7287,true,,
Contributions to Political Economy,0277-5921;1464-3588,true,,
Copyright Society of the USA Journal,0886-3520,true,,
Cornell International Law Journal,0010-8812,true,,
Corporate Communications,1356-3289;1758-6046,true,,
Corporate Governance,1472-0701;1758-6054,true,,
Corporate Governance International,1028-9666,true,,
Creativity and Innovation Management,0963-1690;1467-8691,true,,
"Crime, Law and Social Change",0925-4994;1573-0751,true,,
Critical Asian Studies,1467-2715;1472-6033,true,,
Critical Discourse Studies,1740-5904;1740-5912,true,,
Critical Perspectives on International Business,1742-2043;1758-6062,true,,
Cross Cultural & Strategic Management,2059-5794,true,,
Cultural Diversity and Ethnic Minority Psychology,1099-9809;1939-0106,true,,
Cultural Trends,1469-3690;0954-8963,true,,
Culture and Organization,1475-9551;1477-2760,true,,
Current Issues in Auditing,1936-1270,true,,
Curtin Law and Taxation Review,2203-5028,true,,
Customer Needs and Solutions,2196-291X;2196-2928,true,,
Decision,2325-9965,true,,
Decisions in Economics and Finance,1593-8883;1129-6569,true,,
Defence and Peace Economics,1024-2694;1476-8267,true,,
Developing Economies,0012-1533;1746-1049,true,,
Development and Change,0012-155X;1467-7660,true,,
Development Policy Review,0950-6764;1467-7679,true,,
"Digital Policy, Regulation and Governance",2398-5046;2398-5038,true,,
Duke Law Journal,0012-7086,true,,
Dynamic Games and Applications,2153-0785;2153-0793,true,,
E-Service Journal,1528-8226;1528-8234,true,,
Eastern Economic Journal,0094-5056;1939-4632,true,,
Eastern European Economics,0012-8775;1557-9298,true,,
EC Tax Review,0928-2750,true,,
Econ Journal Watch,1933-527X,true,,
Econometrics,2225-1146,true,,
Econometrics and Statistics,2452-3062,true,,
