name,issns,active,withdrawn_date,withdrawal_reason
Academia Economic Papers,1018-161X,true,,
Accounting & Finance Journal / Revista Contabilidade & Finanças,1519-7077;1808-057X,true,,
Accounting Accountability and Performance,1445-954X,true,,
Accounting and Taxation,1944-592X,true,,
Accounting Theory and Practice,2949-9453,true,,
"Accounting, Finance and Governance Review",0791-9638,true,,
ACM Transactions on Information Systems,1046-8188;1558-2868,true,,
Acta Oeconomica,0001-6373;1588-2659,true,,
Acta Turistica,0353-4316;1848-6061,true,,
Acta Universitatis Bohemiae Meridionalis,1212-3285;2336-4297,true,,
Action Learning and Action Research Journal,1326-964X,true,,
Action Learning Research and Practice,1476-7333;1476-7341,true,,
Actuarial Research Clearinghouse,0732-5428,true,,
Administrative Sciences,2076-3387,true,,
Advances and Applications in Statistics,0972-3617,true,,
Advances in Accounting Education: teaching and curriculum innovations,1085-4622,true,,
Advances in Developing Human Resources,1523-4223;1552-3055,true,,
Advances in Hospitality and Leisure,1745-3542,true,,
Advances in International Management,1571-5027,true,,
Advances in International Marketing,1474-7979,true,,
Advances in Public Interest Accounting,1041-7060,true,,
Advances in Strategic Management,0742-3322,true,,
Advertising & Society Review,2475-1790;1534-7311,true,,
Afaq Iqtisadiyyah,1024-266X,true,,
Africa Development/Afrique et Developpement,0850-3907,true,,
African Development Review,1017-6772;1467-8268,true,,
African Economic History,0145-2258;2163-9108,true,,
"African Journal of Accounting, Auditing and Finance",2046-8083;2046-8091,true,,
African Journal of Business and Economic Research,1750-4554;1750-4562,true,,
African Journal of Economic and Management Studies,2040-0705;2040-0713,true,,
African Journal of Economic and Sustainable Development,2046-4770;2046-4789,true,,
African Review of Economics and Finance,2042-1478;2410-4906,true,,
Afrika Spectrum,0002-0397;1868-6869,true,,
Afro-Asian Journal of Finance and Accounting,1751-6447;1751-6455,true,,
AgBioForum,1522-936X,true,,
Agribusiness: An international journal,0742-4477;1520-6297,true,,
Agricultural Economics Research Review,0971-3441;0974-0279,true,,
Agricultural Economics Review,1109-2580,true,,
Agricultural Finance Review,0002-1466;2041-6326,true,,
AIMS International Journal of Management,1939-7011,true,,
AIS Educator Journal,1935-8156,true,,
ALI - ABA Business Law Course Materials Journal,1536-4445,true,,
Aligarh Journal of Statistics,0971-0388,true,,
American Economist,0569-4345;2328-1235,true,,
American International Journal of Business and Management Studies,2641-4937;2641-4953,true,,
American Journal of Business (AJB),1935-519X;1935-5181,true,,
American Journal of Evaluation,1098-2140;1557-0878,true,,
American Journal of Finance and Accounting,1752-7767;1752-7775,true,,
American Journal of Recreation Therapy,1539-4131,true,,
American Review of Political Economy,1551-1383,true,,
Analisis: cuadernos de investigacion,0252-8851,true,,
Annals Economy Series,1844-7007,true,,
Annals of Economics and Finance,1529-7373,true,,
Annual Editions: Economics,1092-776X,true,,
Annual Review of Banking and Financial Law,1544-4627,true,,
Applied Econometrics,1993-7601;2410-6445,true,,
Applied Econometrics and International Development,1578-4487,true,,
Applied Health Economics and Health Policy,1175-5652;1179-1896,true,,
Aquaculture Economics and Management,1365-7305;1551-8663,true,,
Arkansas Business and Economic Review,0004-1742,true,,
Artha-Vikas: a journal of economic development,0004-3567,true,,
Arts and the Market (formerly Arts Marketing),2044-2084;2056-4945,true,,
ASEAN Journal on Hospitality and Tourism,1412-2073,true,,
Asia Pacific Journal of Health Management,1833-3818,true,,
Asia Pacific Journal of Taxation,1027-5592,true,,
Asia Pacific Law Review,1019-2557;1875-8444,true,,
Asia-Pacific Financial Markets,1387-2834;1573-6946,true,,
Asia-Pacific Journal of Innovation in Hospitality and Tourism,2710-6519,true,,
Asia-Pacific Management Accounting Journal,1675-3194;2550-1631,true,,
Asia-Pacific Management Review,1029-3132;2589-8213,true,,
Asia-Pacific Tax Bulletin,1385-3082,true,,
Asian Academy of Management Journal,1394-2603;2180-4184,true,,
Asian Academy of Management Journal of Accounting and Finance,1823-4992;2180-4192,true,,
Asian and Pacific Economic Review,1000-6052,true,,
Asian and Pacific Migration Journal,0117-1968;2057-049X,true,,
Asian Business and Management,1472-4782;1476-9328,true,,
Asian Development Review,0116-1105,true,,
Asian Economic Policy Review,1832-8105;1748-3131,true,,
Asian Economics Letters,2652-8681,true,,
Asian Economies,0002-2942,true,,
Asian Journal of Accounting and Governance,2180-3838,true,,
Asian Journal of Agriculture and Development,1656-4383;2599-3879,true,,
Asian Journal of Business and Accounting,1985-4064;2180-3137,true,,
Asian Journal of Business Ethics,2210-6723;2210-6731,true,,
Asian Journal of Business Research,2463-4522;1178-8933,true,,
Asian Journal of International Law,2044-2513;2044-2521,true,,
Asian Journal of Management Cases,0972-8201;0973-0621,true,,
Asian Journal of Marketing (SING),0218-6101,true,,
Asian Journal of Social Science,1568-4849;1568-5314,true,,
Asian Survey,0004-4687;1533-838X,true,,
Asian-Pacific Economic Literature,0818-9935;1467-8411,true,,
ASOR Bulletin,0812-860X;1446-6678,true,,
Asper Review of International Business and Trade Law,1496-9572,true,,
AStA Advances in Statistical Analysis,1863-8171;1863-818X,true,,
ATA Journal of Legal Tax Research,1543-866X,true,,
Atlantic Economic Journal,0197-4254;1573-9678,true,,
Auckland University Law Review,0067-0510,true,,
Audit Financiar,1583-5812;1844-8801,true,,
Australasian Agribusiness Review,1442-6951,true,,
Australasian Dispute Resolution Journal,1441-7847,true,,
Australasian Journal of Economics Education,1448-448X;1448-4498,true,,
Australian Commodities,1321-7844,true,,
Australian GST Journal,1445-4068,true,,
Australian Journal of Actuarial Practice (formerly Australian Actuarial Journal),2203-2290;2203-5354,true,,
Australian Journal of Asian Law,1443-0738,true,,
Australian Tax Law Bulletin,2203-9481,true,,
Austrian Economic Quarterly,1025-6954;1605-4709,true,,
Baltic Journal of Economics,1406-099X;2334-4385,true,,
Bank Parikrama: A Journal of Banking and Finance,1019-7044,true,,
Banking Law Journal,0005-5506,true,,
Basic Income Studies,2194-6094;1932-0183,true,,
BFuP - Betriebswirtschaftliche Forschung und Praxis,0340-5370,true,,
Bio-based and Applied Economics Journal,2280-6180;2280-6172,true,,
Brazilian Electronic Journal of Economics,1516-4373,true,,
Brazilian Journal of Business Economics,1676-8000;2236-9775,true,,
Brazilian Journal of Rural Economy and Sociology,0103-2003;1806-9479,true,,
Briefing Notes in Economics,0968-7017,true,,
British Journal of Health Care Management,1358-0574;1759-7382,true,,
Brussels Economic Review,0008-0195,true,,
Bulletin of Applied Economics,2056-3728;2056-3736,true,,
Bulletin of Comparative Labour Relations,0770-3724,true,,
Bulletin of Monetary Economics and Banking,1410-8046;2460-9196,true,,
Bulletin of the Czech Econometric Society,1212-074X,true,,
Business Analyst Journal,0973-211X;2754-6721,true,,
Business and Economics Research Journal,1309-2448,true,,
Business and Politics,1369-5258;1469-3569,true,,
Business and Professional Communication Quarterly,2329-4906;2329-4922,true,,
Business and Professional Ethics Journal,0277-2027;2153-7828,true,,
Business and Society Review,0045-3609;1467-8594,true,,
Business Case Journal,1937-8459,true,,
Business Ethics and Leadership,2520-6761;2520-6311,true,,
Business Law Review,1533-7421,true,,
Business Law Today,1059-9436,true,,
Business Perspectives and Research,2394-9937;2278-5337,true,,
Cadernos de Pos-Graduacao em Direito Politico e Economico,1678-2127,true,,
Canadian Journal of Marketing Research,0829-4836,true,,
Canberra Law Review,1320-6702,true,,
Capital Markets Review,1823-4445,true,,
Capitalism and Society,1932-0213,true,,
Career Development and Transition for Exceptional Individuals,0885-7288;1557-5047,true,,
Case Studies on Transport Policy,2213-624X,true,,
Cayapa: revista venezolana de economia social,1317-5734,true,,
Central Bank Review,1303-0701;1305-8800,true,,
Central European Journal of Economic Modelling and Econometrics,2080-0886;2080-119X,true,,
Central European Journal of Operations Research,1435-246X;1613-9178,true,,
