name,issns,active,withdrawn_date,withdrawal_reason
A.M.A. Archives of Dermatology,0096-5359,false,2025-07-01,renamed
A.M.A. Archives of Dermatology and Syphilology,0096-5979,false,2025-07-01,renamed
A.M.A. Archives of Surgery,0096-6908,false,2025-07-01,renamed
AAPS Journal (The),1550-7416,true,,
Abdominal Imaging,0942-8925,false,2025-07-01,renamed
Abdominal Radiology,2366-004X;2366-0058,true,,
Abdominal surgery,0196-4615,true,,
Academic Emergency Medicine,1069-6563;1553-2712,true,,
Academic Medicine,1040-2446;1938-808X,true,,
Academic Pathology,2374-2895,true,,
Academic Pediatrics,1876-2859;1876-2867,true,,
Academic Psychiatry,1042-9670;1545-7230,true,,
Academic Radiology,1076-6332;1878-4046,true,,
ACI Open,2566-9346,true,,
ACR Open Rheumatology,2578-5745,true,,
ACS Chemical Biology,1554-8929;1554-8937,true,,
ACS Chemical Neuroscience,1948-7193,true,,
ACS Nano,1936-0851;1936-086X,true,,
ACS Synthetic Biology,2161-5063,true,,
Acta Anaesthesiologica Scandinavica,0001-5172;1399-6576,true,,
Acta Bioethica,0717-5906;1726-569X,true,,
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,0001-5415;2570-981X,true,,
Acta Clinica Belgica,1784-3286;2295-3337,true,,
Acta Cytologica,0001-5547;1938-2650,true,,
Acta Dermato-Venereologica,0001-5555;1651-2057,true,,
Acta Diabetologica,0940-5429;1432-5233,true,,
Acta Gastro-Enterologica Belgica,1784-3227;3041-4326,true,,
Acta Haematologica,0001-5792;1421-9662,true,,
Acta Neurochirurgica,0001-6268;0942-0940,true,,
Acta Neuropathologica,0001-6322;1432-0533,true,,
Acta Neuropathologica Communications,2051-5960,true,,
Acta Neuropsychiatrica,0924-2708;1601-5215,true,,
Acta Obstetetricia et Gynecolica Scandinavica,0001-6349;1600-0412,true,,
Acta Oncologica,0284-186X;1651-226X,true,,
Acta ophthalmologica,1755-375X;1755-3768,true,,
Acta Orthopaedica,1745-3674;1745-3682,true,,
Acta Orthopaedica et Traumatologica Turcica,1017-995X;2589-1294,true,,
Acta Otolaryngolica,0001-6489;1651-2251,true,,
Acta Otorhinolaryngologica Belgica,0001-6497,false,2025-07-01,renamed
Acta Otorhinolaryngologica Italica,0392-100X;1827-675X,true,,
Acta Paediatrica,0803-5253;1651-2227,true,,
Acta Pharmaceutica Sinica B,2211-3835;2211-3843,true,,
Acta Pharmacologica Sinica,1671-4083;1745-7254,true,,
"Acta physiologica (Oxford, England)",1748-1708;1748-1716,true,,
Acta Physiologica Scandinavica,0001-6772;1365-201X,false,2025-07-01,renamed
Acta Psychiatrica Scandinavica,0001-690X;1600-0447,true,,
Acta Radiologica,0284-1851;1600-0455,true,,
Acta reumatológica portuguesa,0303-464X;2184-8777,false,2025-07-01,renamed
Acta Tropica,0001-706X;1873-6254,true,,
Actas Urologicas Espagnolas,0210-4806;1699-7980,true,,
Acupuncture & Electrotherapeutic Research,0360-1293,true,,
Adapted Physical Activity Quarterly,0736-5829;1543-2777,true,,
Addiction,0965-2140;1360-0443,true,,
Addiction Biology,1355-6215;1369-1600,true,,
Addiction Research & Theory,1476-7392;1606-6359,true,,
Addiction Science & Clinical Practice,1940-0632;1940-0640,true,,
Addictive Behaviors,0306-4603;1873-6327,true,,
Adipocyte,2162-3945;2162-397X,true,,
Adolescent Psychiatry,2210-6766;2210-6774,true,,
Advanced Drug Delivery Reviews,0169-409X;1872-8294,true,,
Advances and Applications in Bioinformatics and Chemistry,1178-6949,true,,
Advances in Anatomic Pathology,1072-4109;1533-4031,true,,
Advances in Anatomy Embryololy & Cell Biology,0301-5556;2192-7065,true,,
Advances in Applied Microbiology,0065-2164,true,,
Advances in Applied Probability,0001-8678;1475-6064,true,,
Advances in Bioethics,,true,,
Advances in Chronic Kidney Disease,1548-5595;1548-5609,false,2025-07-01,renamed
Advances in Clinical Chemistry,0065-2423;2162-9471,true,,
Advances In Health Sciences Education. Theory and Practice,1382-4996;1573-1677,true,,
Advances in Immunology,0065-2776;1557-8445,true,,
Advances in kidney disease and health,2949-8139;2949-8147,true,,
Advances in Neonatal Care,1536-0903;1536-0911,true,,
Advances in Neurology,0091-3952,false,2025-07-01,ceased publication
Advances in Nutrition,2156-5376;2161-8313,true,,
Advances in Physiology Education,1043-4046;1522-1229,true,,
Advances in Protein Chemistry & Structural Biology,1876-1623;1876-1631,true,,
Advances in Renal Replacement Therapy,1073-4449,false,2025-07-01,renamed
Advances in Rheumatology,2523-3106,true,,
Advances in Skin & Wound Care,1527-7941;1538-8654,true,,
Advances in Therapy,0741-238X;1865-8652,true,,
Advances in Urology,1687-6369;1687-6377,true,,
Advances in Veterinary Dermatology,1366-185X,true,,
Advances in Virus Research,0065-3527;1557-8399,true,,
Advances in Kidney Disease and Health,2949-8139;2949-8147,true,,
Aesthetic Plastic Surgery,0364-216X;1432-5241,true,,
Aesthetic Surgery Journal,1090-820X;1527-330X,true,,
African journal of AIDS research : AJAR,1608-5906;1727-9445,true,,
Age and Ageing,0002-0729;1468-2834,true,,
Ageing Research Reviews,1568-1637;1872-9649,true,,
Aging,1945-4589,true,,
Aging & Mental Health,1360-7863;1364-6915,true,,
Aging and Disease,2152-5250,true,,
Aging Cell,1474-9718;1474-9726,true,,
Aging Clinical and Experimental Research,1594-0667;1720-8319,true,,
AI Magazine,0738-4602;2371-9621,true,,
AIDS,0269-9370;1473-5571,true,,
AIDS and Behavior,1090-7165;1573-3254,true,,
Aids Care,0954-0121;1360-0451,true,,
AIDS Patient Care and STDs,1087-2914;1557-7449,true,,
AIDS Reader (The),1053-0894,false,2025-07-01,ceased publication
AIDS Research and Human Retroviruses,0889-2229;1931-8405,true,,
AIDS Research and Therapy,1742-6405,true,,
AIDS Reviews,1139-6121;1698-6997,true,,
AJNR American Journal of Neuroradiology,0195-6108;1936-959X,true,,
AJR American Journal of Roentgenology,0361-803X;1546-3141,true,,
Alcohol,0741-8329;1873-6823,true,,
Alcohol and Alcoholism,0735-0414;1464-3502,true,,
Alcohol Research & Health,1535-7414;1930-0573,false,2025-07-01,renamed
Alcohol Research : Current Reviews,2168-3492;2169-4796,true,,
"Alcohol, Clinical & Experimental Research",2993-7175,true,,
"Alcoholism, Clinical and Experimental Research",0145-6008;1530-0277,false,2025-07-01,renamed
Alimentary Pharmacology & Therapeutics,0269-2813;1365-2036,true,,
Allergologia et Immunopathologia,0301-0546;1578-1267,true,,
Allergology International,1323-8930;1440-1592,true,,
Allergy,0105-4538;1398-9995,true,,
Allergy Asthma & Immunology Research,2092-7355;2092-7363,true,,
"Allergy, Asthma and Clinical Immunology",1710-1484;1710-1492,true,,
Alzheimer Disease and Associated Disorders,0893-0341;1546-4156,true,,
Alzheimer's & Dementia,1552-5260;1552-5279,true,,
Alzheimer's Reseach &Therapy,1758-9193,true,,
Ambulatory Surgery,0966-6532;1873-2097,true,,
American Family Physician,0002-838X;1532-0650,true,,
American Heart Journal,0002-8703;1097-6744,true,,
