name,issns,active,withdrawn_date,withdrawal_reason
(an)ecdótica,2683-1635;2683-166X,true,,
(Des)troços,2763-518X,true,,
"(Pensamiento), (palabra)... y obra",2011-804X;2462-8441,true,,
@tic.revista d'innovació educativa,1989-3477,true,,
[i2] Investigación e Innovación en Arquitectura y Territorio,2341-0515,true,,
[Inter]sections,2068-3472,true,,
[sic],1688-938X;1688-9398,true,,
“Language and Literature: Theory and Practice.”,2957-5567;2957-5575,true,,
+E: Revista de Extensión Universitaria,2250-4591;2346-9986,true,,
100-Cs,0719-5737,true,,
16 de Abril,0138-645X;1729-6935,true,,
1616,0210-7287;2445-2262,true,,
1700-tal: Nordic Journal for Eighteenth-Century Studies,1652-4772;2001-9866,true,,
19 May Journal of Social Sciences,2717-736X,true,,
19: interdisciplinary studies in the long nineteenth century,1755-1560,true,,
20th century Catalan history Journal,1889-1152;2339-6806,true,,
"21: Inquiries into Art, History, and the Visual — Beiträge zur Kunstgeschichte und visuellen Kultur",2701-1550,true,,
21st Century Media and Communications,2603-3089;2603-3801,true,,
3C Empresa. Investigación y pensamiento crítico,2254-3376,true,,
3C Tecnología,2254-4143,true,,
3C TIC,2254-6529,true,,
3D Printing and Additive Manufacturing,2329-7662;2329-7670,true,,
4. Boyut / Journal of Media and Cultural Studies,2822-6623,true,,
452ºF. Revista de Teoría de la Literatura y Literatura Comparada,2013-3294,true,,
A Contracorriente: una revista de estudios latinoamericanos,1548-7083,true,,
A Journal of Iranology Studies,2822-3209,true,,
A Journal of Irish Studies,2239-3978,true,,
A PRIORI Popular-science Journal,2744-1288,true,,
À tradire,2968-3912,true,,
A&C - Administrative & Constitutional Law Review,1516-3210;1984-4182,true,,
A&P Continuidad,2362-6089;2362-6097,true,,
a/b: Auto/Biography Studies,0898-9575;2151-7290,true,,
A3manos- Journal of the Cuban University of Design,2412-5105,true,,
Ab Imperio: Theory and History of Nationalities and Nationalism in the post-Soviet Realm,2166-4072;2164-9731,true,,
ABE – Architecture Beyond Europe,2275-6639,true,,
Abehache,2238-3026,true,,
About Journalism,2295-0710;2295-0729,true,,
ABRALIC,0103-6963,true,,
Abril: Journal of NEPA UFF,1984-2090,true,,
"Abriu: Textuality Studies on Brazil, Galicia and Portugal",2014-8526;2014-8534,true,,
ABside. Rivista di Storia dell'Arte,2704-8837,true,,
Academia,2241-1402,true,,
Academia y Virtualidad,2011-0731,true,,
Academia. Revista sobre Enseñanza del Derecho,2422-7153,true,,
Academia: Boletín de la Real Academia de Bellas Artes de San Fernando,0567-560X;2530-1551,true,,
Academic Analyses,3023-5979,true,,
Academic Digest,2298-0202;2960-9437,true,,
Academic Journal of Communication Studies,3023-4263,true,,
Academic Journal of Education and Social Sciences (AJESS),3062-262X,true,,
ACADEMIC JOURNAL OF HISTORY AND IDEA,2148-2292,true,,
Academic Journal of Internal Affairs,2062-9494;2677-1632,true,,
Academic Journal of Law and Governance,2344-0643,true,,
Academic Journal of Modern Philology (AJMP),2299-7164;2353-3218,true,,
Academic Social Studies,2602-2877;2602-263X,true,,
Academica Turistica - Tourism and Innovation Journal,1855-3303;2335-4194,true,,
Academicus International Scientific Journal (Academicus ISJ),2079-3715;2309-1088,true,,
ACADEMO Revista de Investigación en Ciencias Sociales y Humanidades,2414-8938,true,,
Academy Journal of Educational Sciences,2602-3342,true,,
Academy of Management Journal,0001-4273;1948-0989,true,,
Academy of Management Learning & Education,1537-260X;1944-9585,true,,
Academy of Management Perspectives,1558-9080;1943-4529,true,,
Academy of Management Review,0363-7425;1930-3807,true,,
ACC Journal,1803-9782;2571-0613,true,,
ACCADERE,2660-9142,true,,
Accelerando: Belgrade Journal of Music and Dance,2466-3913,true,,
Acceso. Revista Puertorriqueña de Bibliotecología y Documentación,1536-1772;2690-0270,true,,
ACCESOS. Journal for Artistic Research,2530-447X;2530-4488,true,,
"ACCESS: ACCESS TO SCIENCE, BUSINESS, INNOVATION IN THE DIGITAL ECONOMY",2683-1007,true,,
