name,issns,active,withdrawn_date,withdrawal_reason
ABUAD International Journal of Natural and Applied Sciences,1115-5892;2955-1021,true,,
ABUAD Journal of Engineering Research and Development,2645-2685;2756-6811,true,,
Abyssinia Journal of Business and Social Sciences,2707-1340;2707-1332,true,,
Abyssinia Journal of Engineering and Computing,2788-6247;2788-6239,true,,
Abyssinia Journal of Science and Technology,2616-4728;2616-471X,true,,
Acta Structilia,2415-0487;1023-0564,true,,
Acta Theologica,2309-9089;1015-8758,true,,
Advanced Research In Economics and Business Strategy Journal,2773-3807;2716-9421,true,,
Advances in Computing and Engineering,2735-5985;2735-5977,true,,
"Advances in Medical, Pharmaceutical and Dental Research",2812-4898;2812-488X,true,,
Africa Habitat Review,2524-1354;2519-7851,true,,
African Business Management Journal,2799-2047;2799-2055,true,,
African Christian Theology,3007-1771;3006-1768,true,,
African Health Sciences,1729-0503;1680-6905,true,,
African Human Mobility Review,2410-7972;2411-6955,true,,
African Journal for Physical Activity and Health Sciences,2411-6939,true,,
African Journal of AIDS Research,1608-5906;1727-9445,true,,
African Journal of Alcohol and Drug Abuse,2664-0066;2664-0058,true,,
African Journal of Ancient Sciences SUNU XALAAT,2772-2104,true,,
African Journal of Applied Research,2408-7920,true,,
African Journal of Clinical and Experimental Microbiology,1595-689X,true,,
"African Journal of Food, Agriculture, Nutrition and Development",1684-5374;1684-5358,true,,
African Journal of Health Professions Education,2078-5127,true,,
African Journal of Health Sciences,1022-9272,true,,
African Journal of Management Research,2458-7435;2343-6689,true,,
African Journal of Nutrition and Dietetics,3006-5526,true,,
African Journal of Pharmaceutical Research and Development,1596-2431;0794-800X,true,,
African Journal of Pharmacy and Alternative Medicine,3005-6306,true,,
African Journal of Rheumatology,2307-2482,true,,
African Journal of Social Issues,2734-3324;2672-5142,true,,
African Journal of Social Work,2409-5605;1563-3934,true,,
African Journal of Thoracic and Critical Care Medicine,2617-0205,true,,
African Journal of Tropical Medicine and Biomedical Research,2141-6397,true,,
African Musicology Online,1994-7712,true,,
African Quarterly Social Science Review,3006-3493,true,,
African Zoology,2224-073X;1562-7020,true,,
"AKIRI (Revue des sciences humaines et sociales, lettres, langues et civilisations)",2958-2814,true,,
Algerian Journal of Health Sciences,2716-9464;2710-8082,true,,
Alijtihed Journal on Legal and Economic Studies,2437-0754;2335-1039,true,,
AlQalam Journal of Medical and Applied Sciences,2707-7179,true,,
ALTRALANG Journal,2710-8619;2710-7922,true,,
Anatomy Journal of Africa,2305-9478;2226-6054,true,,
Annals of African Surgery,2523-0816;1999-9674,true,,
Annals of Health Research,2536-6149;2476-8642,true,,
Annals of Tropical Pathology,2635-3938;2251-0060,true,,
"Arid Zone Journal of Engineering, Technology and Environment",2545-5818;1596-2644,true,,
ASFI Research Journal,3043-4262,true,,
Atras Journal,2992-1376;2710-8759,true,,
Avicenna Medical Research,2800-129X,true,,
Bahir Dar Journal of Education,2415-0452;1816-336X,true,,
Batna Journal of Medical Sciences,2437-0665,true,,
Bayero Journal of Medical Laboratory Science,2635-3792;2545-5672,true,,
Bima Journal of Science and Technology,2536-6041,true,,
Bio-Research,2705-3822;1596-7409,true,,
Biological and Biomedical Journal,2974-4342;2974-4334,true,,
Blue Nile Journal of Agricultural Research,2617-5053;2617-5045,true,,
Bulletin of the Chemical Society of Ethiopia,1726-801X;1011-3924,true,,
Caliphate Journal of Science and Technology,2705-3121;2705-313X,true,,
ChemClass Journal,3092-8214;3092-8206,true,,
Communication in Physical Sciences,2705-2397;2645-2448,true,,
Conspectus,1996-8167,true,,
Contemporary Journal of African Studies,2961-0427;2343-6530,true,,
Cradle of Knowledge: African Journal of Educational and Social Science Research (The),2617-7315;2304-2885,true,,
Critical Studies in Teaching and Learning,2310-7103,true,,
Daagu International Journal of Basic and Applied Research,2707-5052;2707-5060,true,,
Dilla Journal of Education,3080-261X;3080-2601,true,,
Dirasat Hispanicas: Revista Tunecina de Estudios Hispánicos,2286-5977,true,,
Dirassat Journal Economic Issue,2676-2013;2676-2080,true,,
Direct Research Journal of Education and Vocational Studies,2734-2174,true,,
Direct Research Journal of Public Health and Environmental Technology,2734-2182,true,,
Direct Research Journal of Social Science and Educational Studies,2449-0806,true,,
Direct Research Journal of Veterinary Medicine and Animal Science,2734-2166,true,,
Discovery and Innovation,1015-079X,true,,
Dutse Journal of Pure and Applied Sciences,2635-3490;2476-8316,true,,
E-Journal of Humanities Arts and Social Sciences,2720-7722;2821-8949,true,,
E-Journal of Religious and Theological Studies,2458-7338;2821-8957,true,,
East Africa Journal of Neurological Sciences,2957-4323;2957-4315,true,,
East Africa Science,2664-1003;2664-0996,true,,
East African Health Research Journal,2520-5285;2520-5277,true,,
East African Journal of Biophysical and Computational Sciences,2789-3618;2789-360X,true,,
East African Journal of Nursing,3079-4013,true,,
East African Journal of Science and Technology,2227-1902;2227-1910,true,,
East and Central African Journal of Pharmaceutical Sciences,1026-552X,true,,
Eastern Africa Journal of Contemporary Research,2663-7367;2663-7359,true,,
Eastern Africa Journal of Kiswahili,2958-1036,true,,
Eastern African Journal of Humanities and Social Sciences,2958-4558,true,,
Egyptian Journal of Hospital Medicine,2090-7125;1687-2002,true,,
Equity Journal of Science and Technology,2682-5961;2354-1814,true,,
ETHIOINQUIRY Journal of Humanities and Social Sciences,2790-539X;2790-5403,true,,
Ethiopian Journal of Applied Sciences and Technology,2220-9328,true,,
Ethiopian Journal of Health and Biomedical Sciences,2790-3087,true,,
Ethiopian Journal of Health Sciences,2413-7170;1029-1857,true,,
"Ethiopian Journal of Language, Culture and Communication",2518-2919,true,,
Ethiopian Journal of Natural and Computational Sciences,2710-0219;2710-0200,true,,
Ethiopian Journal of Reproductive Health,2520-0283;2520-0275,true,,
Ethiopian Journal of Science and Technology,2312-6019;1816-3378,true,,
Ethiopian Journal of Sport Science,2958-793X;2960-1657,true,,
Ethiopian Journal of the Social Sciences and Humanities,2520-582X;1810-4487,true,,
Ethiopian Medical Journal,2415-2420;0014-1755,true,,
Ethiopian Renaissance Journal of Social Sciences and Humanities,2409-6385;2409-6377,true,,
FARMHOUSE Ciência & Tecnologia,2959-3409,true,,
Fashion and Textiles Review,2665-0983,true,,
Feminist Africa,1726-4596,true,,
"Filosofia Theoretica: Journal of African Philosophy, Culture and Religions",2408-5987;2276-8386,true,,
FUOYE Journal of Engineering and Technology,2579-0617;2579-0625,true,,
Gadaa Journal,2616-3985;2616-3977,true,,
Ghana Dental Journal,2408-7823;0855-5311,true,,
Ghana Journal of Geography,2821-8892;0855-9414,true,,
Ghana Journal of Linguistics,2026-6596,true,,
Ghanaian Journal of Economics,3057-3742;2309-8945,true,,
Global Africa,3020-0458,true,,
Global South Health Horizons,3093-0014,true,,
Hawassa University Journal of Law,2791-2752;2664-3979,true,,
Health SA Gesondheid,2071-9736;1025-9848,true,,
Health Sciences Investigations Journal,2704-4890;2720-7609,true,,
Hybrid Journal of Literary and Cultural Studies,2707-2169,true,,
Ibom Medical Journal,2735-9964;1597-7188,true,,
Ilaro Journal of Women in Technical Education and Employment,2734-3227,true,,
Ilorin Journal of Economic Policy,2449-0512,true,,
Information Impact: Journal of Information and Knowledge Management,2360-994X;2141-4297,true,,
Integrated Journal of Medicine and Medical Sciences,3026-8192;2756-3227,true,,
International Journal of African Higher Education,2313-5069,true,,
International Journal of Agricultural and Home Economics Education,2449-1519,true,,
International Journal of Agricultural Education and Research,3043-4157;1115-599X,true,,
International Journal of Applied Technologies in Library and Information Management,2467-8120;2467-8112,true,,
International Journal of Computer Engineering and Data Science,2737-8543,true,,
International Journal of Economic Performance,2716-9073;2661-7161,true,,
"International Journal of Home Economics, Hospitality and Allied Research",3027-1819;2971-5121,true,,
International Journal of Mathematical Sciences and Optimization: Theory and Applications,2814-0230,true,,
International Journal of Modern Anthropology,1737-8176;1737-7374,true,,
International Journal of Multilingualism and Languages for Specific Purposes,2992-0426;2992-0310,true,,
International Journal of Public Administration,1115-7119,true,,
International Journal of Scientific Research and Innovative Studies,2820-7157,true,,
International Journal of Social Sciences and Humanities Review,2276-8645,true,,
International Journal of Studies in Inclusive Education,3008-1866;3008-1858,true,,
International Journal of Studies in Psychology,2710-2327;2710-2319,true,,
International Journal of Studies in Sexuality Education,3079-5729;3079-5710,true,,
Jarida la Chama cha Lugha na Fasihi ya Kiswahili Tanzania (CHALUFAKITA),2591-7013;2665-0789,true,,
Journal Africain d’Imagerie Médicale,2790-9840;1810-4959,true,,
Journal Africain des Sciences,3107-0930;3107-0949,true,,
Journal for Language Teaching,2958-9320;0259-9570,true,,
"Journal of Advocacy, Research and Education",2508-1055;2410-4981,true,,
Journal of African Association of Physiological Sciences,2449-108X;2315-9987,true,,
Journal of African Politics,2738-9170;2738-9162,true,,
Journal of Agricultural Extension,2408-6851;1119-944X,true,,
Journal of Agriculture and Biomedical Sciences,2710-138X;2226-6410,true,,
Journal of Agriculture and Environmental Sciences,2616-3721,true,,
Journal of Agriculture and Food Sciences,1597-1074,true,,
Journal of Applied Sciences and Environmental Management,2659-1499;2659-1502,true,,
Journal of Building Materials and Structures,2600-6936;2353-0057,true,,
Journal of Community Medicine and Primary Health Care,1115-4608;0794-7410,true,,
"Journal of Digital Food, Energy and Water Systems",2709-4529;2709-4510,true,,
Journal of Economics and Allied Research,3043-6591;2536-7447,true,,
Journal of Education Management and Leadership,2958-1109,true,,
Journal of Educational Review,0975-4792,true,,
Journal of Emerging Technologies,2710-0197;2710-0189,true,,
Journal of Ethiopian Studies,3007-4088;0304-2243,true,,
Journal of Family and Society Research,2955-1668;2955-1676,true,,
Journal of Food Stability,2663-1741;2664-5513,true,,
Journal of History and Cultural Studies,2957-6504,true,,
Journal of Humanities,2948-0094;1016-0728,true,,
Journal of Humanities and Social Sciences,2467-4745;1821-7427,true,,
Journal of Internal Displacement,1920-5813;1920-5805,true,,
Journal of Interventional Epidemiology and Public Health,2664-2824,true,,
Journal of Issues and Practice in Education,2961-6328;1821-5548,true,,
Journal of Kenya Assocation of Physicians,2663-6492;2663-6484,true,,
Journal of Kiswahili and Other African Languages,2958-4914,true,,
Journal of Languages & Translation,2773-3505;2716-9359,true,,
Journal of Languages and Linguistics Studies,2958-1028,true,,
Journal of Legal Studies and Researches,2437-1084;2676-1688,true,,
Journal of Linguistics and Language in Education,2546-2164,true,,
"Journal of Linguistics, Literary and Communication Studies",2957-8477,true,,
Journal of Mathematics and Data Science,3005-544X,true,,
Journal of Medical and Health Sciences,2958-1079,true,,
Journal of Music and Creative Arts,2958-1184,true,,
Journal of North African Economies,2588-1930,true,,
Journal of Paediatric Dental Research and Practice,2955-1382;2955-1390,true,,
Journal of Pastoral and Practical Theology,2957-6482,true,,
Journal of Philosophy and Religion,2958-1133,true,,
Journal of Policy and Development Studies,2814-1091,true,,
Journal of Psychology and Behavioural Studies,2958-1117,true,,
Journal of Psychology and Behavioural Studies,2958-1117,true,,
