name,issns,active,withdrawn_date,withdrawal_reason
Academy of management annals,1941-6520;1941-6067,true,,
Academy of Management Journal,0001-4273;1948-0989,true,,
Academy of Management Learning and Education,1537-260X;1944-9585,true,,
Academy of Management Review,0363-7425;1930-3807,true,,
Accident analysis and prevention,0001-4575;1879-2057,true,,
Accounting organizations and society,0361-3682;1873-6289,true,,
Accounting review,0001-4826;1558-7967,true,,
ACM computing surveys,0360-0300;1557-7341,true,,
ACM transactions on computing education,1946-6226,true,,
ACM transactions on algorithms,1549-6325;1549-6333,true,,
ACM transactions on computer systems,0734-2071;1557-7333,true,,
ACM transactions on computer-human interaction,1073-0516;1557-7325,true,,
ACM transactions on database systems,0362-5915;1557-4644,true,,
ACM transactions on graphics,0730-0301;1557-7368,true,,
ACM transactions on information and system security,1094-9224;1557-7406,false,2016-01-01,inactive in JUFO (Year_End 2016; year only)
ACM transactions on information systems,1046-8188;1558-2868,true,,
ACM transactions on internet technology,1533-5399;1557-6051,true,,
ACM transactions on knowledge discovery from data,1556-4681;1556-472X,true,,
ACM transactions on mathematical software,0098-3500;1557-7295,true,,
ACM transactions on programming languages and systems,0164-0925;1558-4593,true,,
ACM transactions on software engineering and methodology,1049-331X;1557-7392,true,,
Acs nano,1936-0851;1936-086X,true,,
Acta materialia,1359-6454;1873-2453,true,,
Acta mathematica,0001-5962;1871-2509,true,,
Acta musicologica,0001-6241;2296-4339,true,,
Acta neuropathologica,0001-6322;1432-0533,true,,
Addiction,0965-2140;1360-0443,true,,
Administrative science quarterly,0001-8392;1930-3815,true,,
Adult education quarterly,0741-7136;1552-3047,true,,
Advanced drug delivery reviews,0169-409X;1872-8294,true,,
Advanced functional materials,1616-301X;1616-3028,true,,
Advanced materials,0935-9648;1521-4095,true,,
Advances in mathematics,0001-8708;1090-2082,true,,
Advances in optics and photonics,1943-8206,true,,
Advances in physics,0001-8732;1460-6976,true,,
Africa,0001-9720;1750-0184,true,,
African affairs,0001-9909;1468-2621,true,,
Age and ageing,0002-0729;1468-2834,true,,
Agricultural and forest meteorology,0168-1923;1873-2240,true,,
Agricultural history review,0002-1490,true,,
Agriculture ecosystems and environment,0167-8809;1873-2305,true,,
Alimentary pharmacology and therapeutics,0269-2813;1365-2036,true,,
Allergy,0105-4538;1398-9995,true,,
Alzheimer's & dementia,1552-5260;1552-5279,true,,
American anthropologist,0002-7294;1548-1433,true,,
American antiquity,0002-7316;2325-5064,true,,
American economic journal : applied economics,1945-7782;1945-7790,true,,
American economic journal: economic policy,1945-7812;1945-774X,true,,
American economic journal: macroeconomics,1945-0443;1945-7715,true,,
American economic journal: microeconomics,1945-7669;1945-0451,true,,
American economic review,0002-8282;1944-7981,true,,
American educational research journal,0002-8312;1935-1011,true,,
American ethnologist,0094-0496;1548-1425,true,,
American historical review,0002-8762;1937-5239,true,,
American journal of agricultural economics,0002-9092;1467-8276,true,,
American journal of archaeology,1939-828X;0002-9114,true,,
American journal of clinical nutrition,0002-9165;1938-3207,true,,
American journal of comparative law,0002-919X;2326-9197,true,,
American journal of human genetics,0002-9297;1537-6605,true,,
American journal of international law,0002-9300;2161-7953,true,,
American journal of mathematics,0002-9327;1080-6377,true,,
American journal of obstetrics and gynecology,0002-9378;1097-6868,true,,
American journal of philology,0002-9475;1086-3168,true,,
American journal of political science,0092-5853;1540-5907,true,,
American journal of psychiatry,0002-953X;1535-7228,true,,
American journal of respiratory and critical care medicine,1073-449X;1535-4970,true,,
American journal of sociology,0002-9602;1537-5390,true,,
American journal of sports medicine,0363-5465;1552-3365,true,,
American journal of transplantation,1600-6135;1600-6143,true,,
American literary history,0896-7148;1468-4365,true,,
American literature,0002-9831;1527-2117,true,,
American naturalist,0003-0147;1537-5323,true,,
American political science review,0003-0554;1537-5943,true,,
American psychologist,0003-066X;1935-990X,true,,
American sociological review,0003-1224;1939-8271,true,,
Anales de literatura hispanoamericana,0210-4547;1988-2351,true,,
Analysis,0003-2638;1467-8284,true,,
Analysis and pde,2157-5045;1948-206X,true,,
Analytical chemistry,0003-2700;1520-6882,true,,
Ancient judaism and early christianity,1871-6636,true,,
Angewandte Chemie,1433-7851;1521-3773,true,,
"Annales: histoire, sciences sociales",0395-2649;1953-8146,true,,
Annales de l’Institut Henri Poincaré : analyse non linéaire,0294-1449;1873-1430,true,,
Annales scientifiques de l ecole normale superieure,0012-9593;1873-2151,true,,
Annals of applied probability,1050-5164;2168-8737,true,,
Annals of applied statistics,1932-6157;1941-7330,true,,
Annals of internal medicine,0003-4819;1539-3704,true,,
Annals of mathematics,0003-486X;1939-8980,true,,
Annals of neurology,0364-5134;1531-8249,true,,
Annals of oncology,0923-7534;1569-8041,true,,
Annals of probability,0091-1798;2168-894X,true,,
Annals of science,0003-3790;1464-505X,true,,
Annals of statistics,0090-5364;2168-8966,true,,
Annals of surgery,0003-4932;1528-1140,true,,
Annals of the association of american geographers,0004-5608;1467-8306,false,2015-01-01,inactive in JUFO (Year_End 2015; year only)
Annals of the rheumatic diseases,0003-4967;1468-2060,true,,
Annals of tourism research,0160-7383;1873-7722,true,,
Annual of the British School at Athens,0068-2454;2045-2403,true,,
Annual review of astronomy and astrophysics,0066-4146;1545-4282,true,,
Annual review of clinical psychology,1548-5943;1548-5951,true,,
Annual review of earth and planetary sciences,0084-6597;1545-4495,true,,
Annual review of ecology evolution and systematics,1543-592X;1545-2069,true,,
Annual review of fluid mechanics,0066-4189;1545-4479,true,,
Annual review of immunology,0732-0582;1545-3278,true,,
Annual review of information science and technology,0066-4200;1550-8382,false,2011-01-01,inactive in JUFO (Year_End 2011; year only)
Annual review of marine science,1941-1405;1941-0611,true,,
Annual review of nutrition,0199-9885;1545-4312,true,,
Annual review of pharmacology and toxicology,0362-1642;1545-4304,true,,
Annual review of physiology,0066-4278;1545-1585,true,,
Annual review of political science,1094-2939;1545-1577,true,,
Annual review of psychology,1545-2085;0066-4308,true,,
Annual review of public health,0163-7525;1545-2093,true,,
Annual review of sociology,0360-0572;1545-2115,true,,
Anthropological theory,1463-4996;1741-2641,true,,
Antimicrobial agents and chemotherapy,0066-4804;1098-6596,true,,
Antipode,0066-4812;1467-8330,true,,
Antiquity,0003-598X;1745-1744,true,,
Applied catalysis B : environmental,0926-3373;1873-3883,true,,
Applied energy,0306-2619;1872-9118,true,,
Applied linguistics,0142-6001;1477-450X,true,,
Applied physics letters,0003-6951;1077-3118,true,,
Applied thermal engineering,1359-4311;1873-5606,true,,
Arabica,0570-5398;1570-0585,true,,
Archaeological dialogues,1380-2038;1478-2294,true,,
Archaeometry,0003-813X;1475-4754,true,,
Architectural science review,0003-8628;1758-9622,true,,
Archiv für reformationsgeschichte,0003-9381;2198-0489,true,,
Archive for rational mechanics and analysis,0003-9527;1432-0673,true,,
Archive for the psychology of religion,0084-6724;1573-6121,true,,
Archival science,1389-0166;1573-7500,true,,
Archives of disease in childhood-fetal and neonatal edition,1359-2998;1468-2052,true,,
Archives of general psychiatry,0003-990X;1538-3636,false,2012-01-01,inactive in JUFO (Year_End 2012; year only)
Archives of internal medicine,0003-9926;1538-3679,false,2012-01-01,inactive in JUFO (Year_End 2012; year only)
Archives of neurology,0003-9942;1538-3687,false,2012-01-01,inactive in JUFO (Year_End 2012; year only)
Archives of physical medicine and rehabilitation,0003-9993;1532-821X,true,,
Archives of surgery,0004-0010;1538-3644,false,2012-01-01,inactive in JUFO (Year_End 2012; year only)
Archives of toxicology,0340-5761;1432-0738,true,,
Arethusa,1080-6504;0004-0975,true,,
Art bulletin,1559-6478;0004-3079,true,,
Art history,0141-6790;1467-8365,true,,
Art journal,0004-3249;2325-5307,true,,
Arthroscopy-the journal of arthroscopic and related surgery,0749-8063;1526-3231,true,,
Artificial intelligence,0004-3702;1872-7921,true,,
Assessment and evaluation in higher education,0260-2938;1469-297X,true,,
Astronomy and astrophysics,0004-6361;1432-0746,true,,
Astronomy and astrophysics review,0935-4956;1432-0754,true,,
Astrophysical journal letters,2041-8205;2041-8213,true,,
Atmospheric chemistry and physics,1680-7316;1680-7324,true,,
Australasian journal of philosophy,0004-8402;1471-6828,true,,
Automatica,0005-1098;1873-2836,true,,
Behavioral ecology,1045-2249;1465-7279,true,,
Behaviour research and therapy,0005-7967;1873-622X,true,,
Beiträge zur geschichte der deutschen sprache und literatur,0005-8076;1865-9373,true,,
Bilingualism: language and cognition,1366-7289;1469-1841,true,,
Bioethics,0269-9702;1467-8519,true,,
Biography: an interdisciplinary quarterly,0162-4962;1529-1456,true,,
Bioinformatics,1367-4803;1367-4811,true,,
Biological psychiatry,0006-3223;1873-2402,true,,
Biomaterials,0142-9612;1878-5905,true,,
Biometrika,0006-3444;1464-3510,true,,
Biosensors and bioelectronics,0956-5663;1873-4235,true,,
