name,issns,active,withdrawn_date,withdrawal_reason
[Rinsho ketsueki] The Japanese journal of clinical hematology,0485-1439;1882-0824,true,,
2d materials,2053-1583,true,,
3 Biotech,2190-572X;2190-5738,true,,
AAS open research,2515-9321,true,,
Abdominal radiology,2366-004X;2366-0058,true,,
Academic forensic pathology,1925-3621,true,,
Academic medicine : journal of the Association of American Medical Colleges,1040-2446;1938-808X,true,,
Academic pediatrics,1876-2859;1876-2867,true,,
Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry,1042-9670;1545-7230,true,,
Academic radiology,1076-6332;1878-4046,true,,
Accident; analysis and prevention,0001-4575;1879-2057,true,,
Accountability in research,0898-9621;1545-5815,true,,
Accounting auditing & accountability,0951-3574;1758-4205,true,,
Accounts of chemical research,0001-4842;1520-4898,true,,
ACM transactions on autonomous and adaptive systems,1556-4665;1556-4703,true,,
ACM transactions on computer-human interaction : a publication of the Association for Computing Machinery,1073-0516;1557-7325,true,,
ACR open rheumatology,2578-5745,true,,
ACS applied bio materials,2576-6422,true,,
ACS applied energy materials,2574-0962,true,,
ACS applied materials & interfaces,1944-8244;1944-8252,true,,
ACS applied nano materials,2574-0970,true,,
ACS applied polymer materials,2637-6105,true,,
ACS bio & med chem Au,2694-2437,true,,
ACS biomaterials science & engineering,2373-9878,true,,
ACS central science,2374-7943;2374-7951,true,,
ACS chemical neuroscience,1948-7193,true,,
ACS environmental Au,2694-2518,true,,
ACS ES&T engineering,2690-0645,true,,
ACS infectious diseases,2373-8227,true,,
ACS materials letters,2639-4979,true,,
ACS medicinal chemistry letters,1948-5875,true,,
ACS omega,2470-1343,true,,
ACS pharmacology & translational science,2575-9108,true,,
ACS photonics,2330-4022,true,,
ACS sensors,2379-3694,true,,
ACS sustainable chemistry & engineering,2168-0485,true,,
ACS sustainable resource management,2837-1445,true,,
ACS synthetic biology,2161-5063,true,,
Acta acustica united with acustica : the journal of the European Acoustics Association (EEIG),1610-1928;1861-9959,true,,
