name,issns,active,withdrawn_date,withdrawal_reason
A Contracorriente,1548-7083,true,,
A&P continuidad,2362-6089;2362-6097,true,,
A3manos,2412-5105,true,,
Ab Intus,2618-2734,true,,
Abanico veterinario,2007-428X;2448-6132,true,,
Abra,1409-3928;2215-2997,true,,
Abril,1984-2090,true,,
Academia,1667-4154;2422-7153,true,,
Academia XXII,2007-252X;2594-083X,true,,
Academo,2414-8938,true,,
Ação Ergonômica,1519-7859;2965-7318,true,,
Acc Cietna,2309-8570,true,,
ACCADERE,2660-9142,true,,
Acceso: Revista Puertorriqueña de Bibliotecología y Documentación,1536-1772;2690-0270,true,,
Accesos,2530-447X;2530-4488,true,,
Acción,1608-3792;1812-5808,true,,
Acción Motriz,1989-2837,true,,
Acción psicológica,1578-908X;2255-1271,true,,
Acción y Reflexión Educativa,1563-2911;2644-3775,true,,
Acciones e investigaciones sociales,1132-192X;2340-4507,true,,
ACDI Anuario Colombiano de Derecho Internacional,2027-1131;2145-4493,true,,
"ACE. Architecture, City and Environment",1886-4805;1887-7052,true,,
Acervo,0102-700X;2237-8723,true,,
ACI Avances en Ciencias e Ingenierías,2528-7788,true,,
Acta académica,2215-383X;1017-7507,true,,
Acta artis,2014-1912;2339-7691,true,,
Acta bioethica,0717-5906;1726-569X,true,,
Acta bioquímica clínica latinoamericana,0325-2957;1851-6114,true,,
Acta Botanica Malacitana,0210-9506;2340-5074,true,,
Acta botánica mexicana,0187-7151;2448-7589,true,,
Acta Brasiliensis,2526-432X;2526-4338,true,,
Acta de investigación psicológica,2007-4719;2007-4832,true,,
Acta Fisiátrica,0104-7795;2317-0190,true,,
Acta geológica lilloana,0567-7513;1852-6217,true,,
Acta Hispanica,1416-7263;2676-9719,true,,
Acta literaria,0716-0909;0717-6848,true,,
Acta Médica Costarricense,0001-6012;2215-5856,true,,
Acta Médica del Centro,2709-7927,true,,
Acta médica peruana,1018-8800;1728-5917,true,,
Acta médica portuguesa,0870-399X;1646-0758;0871-4673,true,,
Acta neurológica colombiana,0120-8748;2422-4022,true,,
Acta Oceanográfica del Pacífico,2806-5522,true,,
Acta Odontológica Colombiana,2027-7822,true,,
Acta pediátrica de México,0186-2391;2395-8235,true,,
Acta poética,0185-3082;2448-735X,true,,
Acta reumatológica portuguesa,0303-464X,true,,
Acta Scientiarum. Agronomy,1679-9275;1807-8621,true,,
Acta Scientiarum. Education,2178-5198;2178-5201,true,,
Acta Scientiarum. Technology,1806-2563;1807-8664,true,,
Acta sociológica,0186-6028;2448-4938,true,,
Acta universitaria,2007-9621;0188-6266,true,,
Acta zoológica lilloana,0065-1729;1852-6098,true,,
Acta zoológica mexicana. Nueva serie,0065-1737;2448-8445,true,,
Actas de arquitectura religiosa contemporánea,2659-8671,true,,
ACTAS MÉDICAS (ECUADOR).,2960-8309,true,,
Actio,2525-8923,true,,
"ACTIO Journal of technology in design, film arts and visual communication",2665-1890,true,,
Actio nova,2530-4437,true,,
Actividad Física y Deporte: Ciencia y Profesión,2659-8930;1578-2484,true,,
Actividad física y desarrollo humano,1692-7427;2711-3043,true,,
Actos,2452-4727,true,,
Actualidad jurídica ambiental,1989-5666,true,,
Actualidades biológicas,0304-3584;2145-7166,true,,
Actualidades en psicología,0258-6444;2215-3535,true,,
Actualidades Investigativas en Educación,1409-4703,true,,
Actualización en nutrición,1667-8052;2250-7183,true,,
Actualizaciones en Sida e Infectología.,2718-7845,true,,
Ad limina,2171-620X;2659-5885,true,,
Ad majorem patriae gloriam,2618-0499;2955-876X,true,,
Ad-Gnosis,2344-7516;2745-1364,true,,
adComunica,2174-0992;2254-2728,true,,
Administração Pública e Gestão Social,2175-5787,true,,
Administración & cidadanía,1887-0279;1887-5270,true,,
Administración y desarrollo,0120-3754;2500-5227,true,,
Administración y organizaciones,1665-014X;2683-2534,true,,
aDResearch ESIC,1889-7304;2340-3144,true,,
Advances in building education,2530-7940,true,,
Advances in Distributed Computing and Artificial Intelligence Journal,2255-2863,true,,
Advances in Science and Innovation,2961-2012,true,,
Advocatus,1996-4773;2523-6261,true,,
Aestimatio,2173-0164;2173-1926,true,,
Afluir,2659-7721,true,,
Afro-Ásia,0002-0591;1981-1411,true,,
Agenda Internacional,1027-6750;2311-5718,true,,
Ager. Revista de estudios sobre despoblación y desarrollo rural,1578-7168;2340-4655,true,,
Agora,2412-2300;2412-804X,true,,
Ágora de Heterodoxias,2443-4361,true,,
Ágora para la educación física y el deporte,1578-2174;1989-7200,true,,
Ágora UNLaR,2545-6024,true,,
Ágora. Estudos Clássicos em debate,0874-5498;2183-4334,true,,
Agora. Papeles de Filosofía,0211-6642;2174-3347,true,,
Agrarian,1984-252X;1984-2538,true,,
"Agricultura, sociedad y desarrollo",1870-5472;2594-0244,true,,
AgriScientia,0327-6244;1668-298X,true,,
Agro productividad,2448-7546;2594-0252,true,,
Agrociencia,1405-3195;2521-9766,true,,
Agrociencia,2522-6509,true,,
Agrociencia Uruguay,2730-5066,true,,
Agroindustrial Science,2226-2989,true,,
Agronomía Costarricense,0377-9424;2215-2202,true,,
Agronomía Mesoamericana,1021-7444;2215-3608,true,,
Agropecuária Catarinense,0103-0779;2525-6076,true,,
Agrotecnia de Cuba,0568-3114;2414-4673,true,,
"Agua, saneamiento & ambiente",2222-2499;2224-9958,true,,
AIA Avances en investigación agropecuaria,2638-1716;2683-1716;0188-7890,true,,
AIBR. Asociación de Antropólogos Iberoamericanos en Red,1578-9705,true,,
Aiken Revista de Ciencias Sociales y de la Salud.,2796-7506;2796-7395,true,,
Aisthesis,0568-3939;0718-7181,true,,
Akadèmeia,0717-9936;0718-9397,true,,
Al-Andalus Magreb,1133-8571;2660-7697,true,,
Al-Basit,0212-8632;2695-6888,true,,
