name,issns,active,withdrawn_date,withdrawal_reason
Respiratory research & clinical practice,3086-3910,true,,
International journal of addiction nursing,3068-9597;3068-9589,true,,
MedScience,3091-4981,true,,
Discover genetics and evolution,3091-3217,true,,
Circulation. Population health and outcomes,3068-563X,true,,
Drug metabolism and bioanalysis,3117-3861;3117-3853,true,,
IEEE transactions on ultrasonics,3066-9464,true,,
IEEE transactions on computational biology and bioinformatics,2998-4165,true,,
Vascular diseases,3050-6581;3050-659X,true,,
Advances in health information science and practice,3066-5825,true,,
Biopsychosocial science and medicine,2998-8756;2998-8748,true,,
Ecological and evolutionary physiology,2993-7973;2993-7965,true,,
Modern British history,2976-7024;2976-7016,true,,
Women’s health nursing,3022-8247;3022-7666,true,,
Journal of physiological investigation,2950-6352;2950-6344,true,,
Journal of imaging informatics in medicine,2948-2933;2948-2925,true,,
International journal of prison health,2977-0262;2977-0254,true,,
Journal of epidemiology and population health,2950-4333;2950-4368,true,,
The French journal of urology,2950-3930;2950-4201,true,,
Substance use & addiction journal,2976-7350;2976-7342,true,,
"Parasites, hosts and diseases",2982-6799;2982-5164,true,,
Spanish journal of psychiatry and mental health,2950-2853,true,,
Journal of substance use and addiction treatment,2949-8759;2949-8767,true,,
Biomolecules & biomedicine,2831-090X;2831-0896,true,,
BMJ mental health,2755-9734,true,,
Imaging neuroscience,2837-6056,true,,
International journal of social determinants of health and health services,2755-1946;2755-1938,true,,
Critical care science,2965-2774,true,,
"Alcohol, clinical & experimental research",2993-7175,true,,
Journal of microorganism control,2758-6391;2758-6383,true,,
American journal of biological anthropology,2692-7691,true,,
Canadian journal of health history = Revue canadienne d'histoire de la santé,2816-6477;2816-6469,true,,
Die Ophthalmologie,2731-7218;2731-720X,true,,
ARP rheumatology,2795-4552,true,,
Journal of integrative and complementary medicine,2768-3613;2768-3605,true,,
Journal of pediatric hematology/oncology nursing,2752-7549;2752-7530,true,,
Interdisciplinary cardiovascular and thoracic surgery,2753-670X,true,,
Advances in kidney disease and health,2949-8139;2949-8147,true,,
Die Pathologie,2731-7196;2731-7188,true,,
Die Radiologie,2731-7056;2731-7048,true,,
Die Orthopädie,2731-7153;2731-7145,true,,
Die Anaesthesiologie,2731-6866;2731-6858,true,,
Die Urologie,2731-7072;2731-7064,true,,
Die Unfallchirurgie,2731-703X;2731-7021,true,,
Die innere Medizin,2731-7099;2731-7080,true,,
Die Dermatologie,2731-7013;2731-7005,true,,
Biomaterials advances,2772-9508;2772-9516,true,,
Die Chirurgie,2731-698X;2731-6971,true,,
Plastic and aesthetic nursing,2770-3517;2770-3509,true,,
Health and social care delivery research,2755-0079;2755-0060,true,,
"Recent advances in food, nutrition & agriculture",2772-5758;2772-574X,true,,
Journal of prevention,2731-5541;2731-5533,true,,
Journal of psychopathology and clinical science,2769-755X;2769-7541,true,,
JOSPT open,2832-8280,true,,
Zhonghua shao shang yu chuang mian xiu fu za zhi,2097-1109,true,,
Urogynecology,2771-1897,true,,
NEJM evidence,2766-5526,true,,
BMC primary care,2731-4553,true,,
Journal of the American Nutrition Association,2769-707X;2769-7061,true,,
Nature cardiovascular research,2731-0590,true,,
Andes pediatrica : revista Chilena de pediatría,2452-6053;2452-6045,true,,
Minerva dental and oral science,2724-6337;2724-6329,true,,
Italian journal of dermatology and venereology,2784-8450;2784-8671,true,,
Minerva obstetrics and gynecology,2724-6450;2724-606X,true,,
Minerva endocrinology,2724-6116;2724-6507,true,,
Minerva urology and nephrology,2724-6442;2724-6051,true,,
Minerva surgery,2724-5438;2724-5691,true,,
Minerva gastroenterology,2724-5365;2724-5985,true,,
Journal of osteopathic medicine,2702-3648,true,,
Recent advances in inflammation & allergy drug discovery,2772-2716;2772-2708,true,,
Recent advances in drug delivery and formulation,2667-3886;2667-3878,true,,
BMC ecology and evolution,2730-7182,true,,
Cells & development,2667-2901;2667-291X,true,,
Nature computational science,2662-8457,true,,
BMC genomic data,2730-6844,true,,
Advanced biology,2701-0198,true,,
The science of diabetes self-management and care,2635-0114;2635-0106,true,,
JASA express letters,2691-1191,true,,
