name,issns,active,withdrawn_date,withdrawal_reason
Arctos: Acta Philologica Fennica,0570-734X,true,,
Ecology of Food and Nutrition,0367-0244;1543-5237,true,,
Agricultural Economics,0169-5150;1574-0862,true,,
Respiratory Medicine,0954-6111;1532-3064,true,,
Marine Chemistry,0304-4203;1872-7581,true,,
Journal of Contemporary Asia,0047-2336;1752-7554,true,,
The International Journal of Tuberculosis and Lung Disease,1027-3719;1815-7920,true,,
Archives of Dermatological Research,0340-3696;1432-069X,true,,
Complementary Therapies in Medicine,0965-2299;1873-6963,true,,
Chemosphere,0045-6535;1879-1298,true,,
Fennoscandia Archaeologica,0781-7126,true,,
Prospect: Quarterly Review of Comparative Education,0033-1538;1573-9090,true,,
Comparative Social Research,0195-6310,true,,
Chromatographia,0009-5893;1612-1112,true,,
Current Opinion in Cell Biology,0955-0674;1879-0410,true,,
Adoption & Fostering : The Quarterly Journal of British Agencies for Adoption & Fostering,0308-5759;1740-469X,true,,
Anthropologica,0003-5459,true,,
American Journal of Medical Genetics,0148-7299;1096-8628,true,,
Journal of Periodontology,0022-3492;1943-3670,true,,
Nordic Journal of Political Economy (NOPEC),0805-7508;1891-1854,false,2016-01-01,inactive in the register (Nedlagt år 2016; year only)
Aquatic Sciences,1015-1621;1420-9055,true,,
Biotechnology Annual Review,1387-2656;1875-5208,true,,
Psychiatry Research : Neuroimaging,0925-4927;1872-7506,true,,
Norwegian Journal of Entomology,1501-8415;1894-0692,true,,
American Journal of Forensic Medicine and Pathology,0195-7910;1533-404X,true,,
Journal of Experimental Education,0022-0973;1940-0683,true,,
Earth Observations and Remote Sensing,1024-5251,true,,
European Journal of Neuroscience,0953-816X;1460-9568,true,,
Pharmacology,0031-7012;1423-0313,true,,
Scandinavian Journal of Caring Sciences,0283-9318;1471-6712,true,,
Kulturella perspektiv: svensk etnologisk tidsskrift,1102-7908;2004-0288,true,,
Norsk filosofisk tidsskrift,0029-1943;1504-2901,true,,
Journal of Steroid Biochemistry and Molecular Biology,0960-0760;1879-1220,true,,
Målbryting,1500-8576;2535-8308,true,,
British Journal of Neurosurgery,0268-8697;1360-046X,true,,
Journal of Neuroscience Methods,0165-0270;1872-678X,true,,
Ethiopian Medical Journal (EMJ),0014-1755;2415-2420,true,,
Basic Research in Cardiology,0300-8428;1435-1803,true,,
Journal of Surgical Research,0022-4804;1095-8673,true,,
Genetic Epidemiology,0741-0395;1098-2272,true,,
Canadian Journal of Botany,0008-4026;1480-3305,true,,
Contemporary Sociology,0094-3061;1939-8638,true,,
Microvascular Research,0026-2862;1095-9319,true,,
Mitigation and Adaptation Strategies for Global Change,1381-2386;1573-1596,true,,
International Journal of the Economics of Business,1357-1516;1466-1829,true,,
Genomics,0888-7543;1089-8646,true,,
Journal of Vegetation Science (JVS),1100-9233;1654-1103,true,,
International Journal of STD and AIDS,0956-4624;1758-1052,true,,
Cancer Immunology and Immunotherapy,0340-7004;1432-0851,true,,
Modern Asian Studies,0026-749X;1469-8099,true,,
Mutation research. Reviews in mutation research,1383-5742;1388-2139,true,,
"Pathology, Research and Practice",0344-0338;1618-0631,true,,
Neurotoxicology,0161-813X;1872-9711,true,,
American Journal of Perinatology,0735-1631;1098-8785,true,,
The Visual Computer,0178-2789;1432-2315,true,,
Nordlit,0809-1668;1503-2086,true,,
Journal of Tropical Ecology,0266-4674;1469-7831,true,,
Bulletin of the School of Oriental and African Studies,0041-977X;1474-0699,true,,
Journal of Reproductive Immunology,0165-0378;1872-7603,true,,
Scandinavian Journal of Gastroenterology,0036-5521;1502-7708,true,,
Norsk Epidemiologi,0803-2491;1891-5477,true,,
