name,issns,active,withdrawn_date,withdrawal_reason
Canadian Journal of Fisheries and Aquatic Sciences,0706-652X;1205-7533,true,,
Journal of Experimental Medicine (JEM),0022-1007;1540-9538,true,,
Archives of Disease in Childhood,0003-9888;1468-2044,true,,
Spine,0362-2436;1528-1159,true,,
Plant and Soil,0032-079X;1573-5036,true,,
Journal of Experimental Psychology: Human Perception and Performance,0096-1523;1939-1277,true,,
Studies in Higher Education,0307-5079;1470-174X,true,,
Metallurgical and Materials Transactions A,1073-5623;1543-1940,true,,
British Journal of General Practice,0960-1643;1478-5242,true,,
Journal of Applied Ecology,0021-8901;1365-2664,true,,
British Journal of Surgery,0007-1323;1365-2168,true,,
Journal of Youth Studies,1367-6261;1469-9680,true,,
Psychological Science,0956-7976;1467-9280,true,,
Zeitschrift für Romanische Philologie,0049-8661;1865-9063,true,,
European Accounting Review,0963-8180;1468-4497,true,,
Journal of Peace Research,0022-3433;1460-3578,true,,
Applied and Environmental Microbiology,0099-2240;1098-5336,true,,
Journal of the Electrochemical Society,0013-4651;1945-7111,true,,
Scandinavian Journal of Primary Health Care,0281-3432;1502-7724,true,,
Blood,0006-4971;1528-0020,true,,
Journal of Neurochemistry,0022-3042;1471-4159,true,,
Biometrics,0006-341X;1541-0420,true,,
Molecular Microbiology,0950-382X;1365-2958,true,,
African Archaeological Review,0263-0338;1572-9842,true,,
European Journal of Pharmaceutical Sciences,0928-0987;1879-0720,true,,
The FASEB Journal,0892-6638;1530-6860,true,,
Journal of Biological Chemistry,0021-9258;1083-351X,true,,
Sociological Methods & Research,0049-1241;1552-8294,true,,
Journal of Economic Theory,0022-0531;1095-7235,true,,
Epidemiology,1044-3983;1531-5487,true,,
Journal of Community and Applied Social Psychology,1052-9284;1099-1298,true,,
Psychology and Health,0887-0446;1476-8321,true,,
Comparative Political Studies,0010-4140;1552-3829,true,,
Language Learning,0023-8333;1467-9922,true,,
Journal of Finance,0022-1082;1540-6261,true,,
European Heart Journal,0195-668X;1522-9645,true,,
Journal of the American College of Cardiology,0735-1097;1558-3597,true,,
Hepatology,0270-9139;1527-3350,true,,
Circulation Research,0009-7330;1524-4571,true,,
American Journal of Kidney Diseases,0272-6386;1523-6838,true,,
Annals of Oncology,0923-7534;1569-8041,true,,
European Journal of Teacher Education,0261-9768;1469-5928,true,,
European Journal of Special Needs Education,0885-6257;1469-591X,true,,
Rhinology,0300-0729;1996-8604,true,,
Ethnologia Europaea,0425-4597;1604-3030,true,,
Journal of Research in Science Teaching,0022-4308;1098-2736,true,,
Nature Genetics,1061-4036;1546-1718,true,,
Clinical Nutrition,0261-5614;1532-1983,true,,
Social Psychiatry and Psychiatric Epidemiology,0933-7954;1433-9285,true,,
Nature Medicine,1078-8956;1546-170X,true,,
Journal of Transport Geography,0966-6923;1873-1236,true,,
The Burlington Magazine,0007-6287;2044-9925,true,,
EMBO Journal,0261-4189;1460-2075,true,,
American Journal of Sports Medicine,0363-5465;1552-3365,true,,
Journal of Teacher Education,0022-4871;1552-7816,true,,
Journal of Medieval History,0304-4181;1873-1279,true,,
British Journal of Psychiatry,0007-1250;1472-1465,true,,
International Journal of Remote Sensing,0143-1161;1366-5901,true,,
Quaternary Science Reviews,0277-3791;1873-457X,true,,
Journal of Hydrology,0022-1694;1879-2707,true,,
Neuropsychology,0894-4105;1931-1559,true,,
Stem Cells,1066-5099;1549-4918,true,,
Journal of Thoracic and Cardiovascular Surgery,0022-5223;1097-685X,true,,
Annals of Internal Medicine,0003-4819;1539-3704,true,,
British Journal of Pharmacology,0007-1188;1476-5381,true,,
Nordic Theatre Studies,0904-6380;2002-3898,true,,
"Governance. An International Journal of Policy, Administration and Institutions",0952-1895;1468-0491,true,,
Social Networks,0378-8733;1879-2111,true,,
Surgery,0039-6060;1532-7361,true,,
Psychotherapy and Psychosomatics,0033-3190;1423-0348,true,,
Journal of Clinical Oncology,0732-183X;1527-7755,true,,
Journal of Abnormal Psychology,0021-843X;1939-1846,true,,
Ecology,0012-9658;1939-9170,true,,
Ecological Applications,1051-0761;1939-5582,true,,
Proceedings of the Royal Society of London. Biological Sciences,0962-8452;1471-2954,true,,
The Journal of General Physiology,0022-1295;1540-7748,true,,
Clinical Chemistry,0009-9147;1530-8561,true,,
Medieval Archaeology,0076-6097;1745-817X,true,,
"Social Politics: International Studies in Gender, State and Society",1072-4745;1468-2893,true,,
Stochastic Processes and their Applications,0304-4149;1879-209X,true,,
Diacritics,0300-7162;1080-6539,true,,
West European Politics,0140-2382;1743-9655,true,,
Journal of Immunology,0022-1767;1550-6606,true,,
Temenos,0497-1817;2342-7256,true,,
Urology,0090-4295;1527-9995,true,,
Climate Dynamics,0930-7575;1432-0894,true,,
Journal of Pediatric Surgery,0022-3468;1531-5037,true,,
Psychotherapy Research,1050-3307;1468-4381,true,,
International Journal of Cultural Policy,1028-6632;1477-2833,true,,
Political Psychology,0162-895X;1467-9221,true,,
Journal of the American Society of Nephrology,1046-6673;1533-3450,true,,
Annals of Science,0003-3790;1464-505X,true,,
Journal of Neurology,0340-5354;1432-1459,true,,
Geophysics,0016-8033;1942-2156,true,,
Developmental and Comparative Immunology,0145-305X;1879-0089,true,,
Soil Biology and Biochemistry,0038-0717;1879-3428,true,,
Physiology and Behavior,0031-9384;1873-507X,true,,
"Media, Culture and Society",0163-4437;1460-3675,true,,
Neurosurgery,0148-396X;1524-4040,true,,
Journal of Clinical Endocrinology and Metabolism (JCEM),0021-972X;1945-7197,true,,
Journal of Industrial Ecology,1088-1980;1530-9290,true,,
Journal of American Academy of Dermatology,0190-9622;1097-6787,true,,
Journal of the American Academy of Child and Adolescent Psychiatry,0890-8567;1527-5418,true,,
Childhood,0907-5682;1461-7013,true,,
Artificial Intelligence in Medicine,0933-3657;1873-2860,true,,
American Journal of Obstetrics and Gynecology,0002-9378;1097-6868,true,,
Family Practice,0263-2136;1460-2229,true,,
Neuroscience and Biobehavioral Reviews,0149-7634;1873-7528,true,,
Human Molecular Genetics,0964-6906;1460-2083,true,,
Geology,0091-7613;1943-2682,true,,
New Testament Studies,0028-6885;1469-8145,true,,
"Plant, Cell and Environment",0140-7791;1365-3040,true,,
Policy Studies Journal (PSJ),0190-292X;1541-0072,true,,
American Journal of International Law,0002-9300;2161-7953,true,,
Ethnos,0014-1844;1469-588X,true,,
American Sociological Review,0003-1224;1939-8271,true,,
Journal of Environmental Economics and Management,0095-0696;1096-0449,true,,
Cortex,0010-9452;1973-8102,true,,
Social Science Research,0049-089X;1096-0317,true,,
Journal of Ecology,0022-0477;1365-2745,true,,
Cell Death and Differentiation,1350-9047;1476-5403,true,,
Chemical Reviews,0009-2665;1520-6890,true,,
Omega. The International Journal of Management Science,0305-0483;1873-5274,true,,
Developmental Neuropsychology,8756-5641;1532-6942,true,,
Molecular Ecology,0962-1083;1365-294X,true,,
Ethnic and Racial Studies,0141-9870;1466-4356,true,,
Strategic Management Journal,0143-2095;1097-0266,true,,
The Journal of Heart and Lung Transplantation,1053-2498;1557-3117,true,,
Critical Social Policy,0261-0183;1461-703X,true,,
European Journal of Endocrinology (EJE),0804-4643;1479-683X,true,,
SIAM Journal of Control and Optimization,0363-0129;1095-7138,true,,
Cultural Studies,0950-2386;1466-4348,true,,
Journal of the American Academy of Religion,0002-7189;1477-4585,true,,
Resuscitation,0300-9572;1873-1570,true,,
Population and Development Review,0098-7921;1728-4457,true,,
Journal of Nutrition,0022-3166;1541-6100,true,,
Global Environmental Change,0959-3780;1872-9495,true,,
Journal of Cerebral Blood Flow and Metabolism,0271-678X;1559-7016,true,,
Tobacco Control,0964-4563;1468-3318,true,,
Journal of Public Economics,0047-2727;1879-2316,true,,
Journal of Sound and Vibration,0022-460X,true,,
Nordic Journal of Music Therapy,0809-8131;1944-8260,true,,
Research Policy,0048-7333;1873-7625,true,,
Poétique,0032-2024,true,,
Antiquity,0003-598X;1745-1744,true,,
Cardiovascular Research (CVR),0008-6363;1755-3245,true,,
Journal of Sex Research,0022-4499;1559-8519,true,,
Target,0924-1884;1569-9986,true,,
Journal of Cell Biology,0021-9525;1540-8140,true,,
Mathematics of Operations Research,0364-765X;1526-5471,true,,
Economic Geography,0013-0095;1944-8287,true,,
Journal of Environmental Psychology,0272-4944;1522-9610,true,,
European Urban and Regional Studies,0969-7764;1461-7145,true,,
Ocean Development and International Law,0090-8320;1521-0642,true,,
American Journal of Respiratory and Critical Care Medicine,1073-449X;1535-4970,true,,
Geoforum,0016-7185;1872-9398,true,,
NeuroImage,1053-8119;1095-9572,true,,
Journal of Cleaner Production,0959-6526;1879-1786,true,,
