name,issns,active,withdrawn_date,withdrawal_reason
Anales de la Asociación Química Argentina,0365-0375,false,2006-01-01,deceased in SciELO collection arg
The Journal of Argentine Chemical Society,1852-1428,false,2015-05-01,deceased in SciELO collection arg
Revista argentina de neurocirugía,1850-1532,false,2014-08-01,deceased in SciELO collection arg
Kurtziana,1852-5962,false,2014-06-01,deceased in SciELO collection arg
Ameghiniana,0002-7014;1851-8044,false,2014-07-01,deceased in SciELO collection arg
Revista argentina de sociología,1669-3248,false,2015-03-01,deceased in SciELO collection arg
Cuadernos de historia de España,1850-2717;0325-1195,false,2017-05-01,deceased in SciELO collection arg
Revista de la Asociación Argentina de Sedimentología,1853-6360;0328-1159,false,2011-05-01,deceased in SciELO collection arg
Revista de la Unión Matemática Argentina,1669-9637;0041-6932,false,2017-07-21,deceased in SciELO collection arg
Biocell,1667-5746;0327-9545,false,2017-07-21,deceased in SciELO collection arg
Temas medievales,1850-2628;0327-5094,false,2017-07-21,deceased in SciELO collection arg
Cuadernos de antropología social,1850-275X,true,,
Runa,1851-9628,true,,
Trabajo y sociedad,1514-6871,true,,
Anuario de investigaciones,1851-1686,false,2017-12-01,deceased in SciELO collection arg
Revista argentina de antropología biológica,1514-7991,true,,
Latin American applied research,0327-0793;1851-8796,false,2018-01-17,deceased in SciELO collection arg
Documentos y aportes en administración pública y gestión estatal,1851-3727,false,2018-01-17,deceased in SciELO collection arg
Relaciones,0325-2221;1852-1479,true,,
Revista de Ciencia y Tecnología,1851-7587,true,,
Revista de la Asociación Geológica Argentina,1851-8249;0004-4822,false,2018-12-13,deceased in SciELO collection arg
Bonplandia,0524-0476;1853-8460,true,,
Apuntes de investigación del CECYP,1851-9814,false,2019-02-27,deceased in SciELO collection arg
Cuadernos de herpetología,1852-5768,false,2019-02-27,deceased in SciELO collection arg
Phyton (Buenos Aires),1851-5657,false,2019-02-27,deceased in SciELO collection arg
Geoacta,1852-7744,false,2019-03-29,deceased in SciELO collection arg
Medicina (Buenos Aires),1669-9106;0025-7680,true,,
Quebracho (Santiago del Estero),0328-0543;1851-3026,false,2018-01-17,deceased in SciELO collection arg
Subjetividad y procesos cognitivos,1852-7310,false,2019-10-01,deceased in SciELO collection arg
